unique_id,model,MAE
hotel_0,Naive,0.1947089947089947
hotel_0,SeasonalNaive,0.21428571428571427
hotel_0,AutoETS,0.19603212961630628
hotel_0,AutoARIMA,0.17383222415943145
hotel_0,xgboost,0.11748910954179374
hotel_0,NBEATS,0.1992141427974852
hotel_0,NHITS,0.17001349375676855
hotel_105,Naive,0.12003593890386341
hotel_105,SeasonalNaive,0.10530098831985625
hotel_105,AutoETS,0.10714308079334321
hotel_105,AutoARIMA,0.10516143387676072
hotel_105,xgboost,0.09773148620385688
hotel_105,NBEATS,0.16552187132465873
hotel_105,NHITS,0.1368350865036544
hotel_112,Naive,0.14125
hotel_112,SeasonalNaive,0.11357142857142857
hotel_112,AutoETS,0.1036604753717669
hotel_112,AutoARIMA,0.09104203836174807
hotel_112,xgboost,0.10898604316370829
hotel_112,NBEATS,0.10637763491698674
hotel_112,NHITS,0.11911686650344304
hotel_126,Naive,0.03551508252703471
hotel_126,SeasonalNaive,0.046215139442231074
hotel_126,AutoETS,0.03730894728612922
hotel_126,AutoARIMA,0.05244690526213668
hotel_126,xgboost,0.06280403575676032
hotel_126,NBEATS,0.09836085569505741
hotel_126,NHITS,0.0721360595747362
hotel_133,Naive,0.10749414519906324
hotel_133,SeasonalNaive,0.10725995316159251
hotel_133,AutoETS,0.09973865761382197
hotel_133,AutoARIMA,0.1132854918623804
hotel_133,xgboost,0.10322367091787504
hotel_133,NBEATS,0.18491342221964716
hotel_133,NHITS,0.19197754648097504
hotel_14,Naive,0.15026954177897575
hotel_14,SeasonalNaive,0.11859838274932614
hotel_14,AutoETS,0.11928733688477
hotel_14,AutoARIMA,0.1108214531941582
hotel_14,xgboost,0.09370092357988306
hotel_14,NBEATS,0.12295609663197936
hotel_14,NHITS,0.12318539115778519
hotel_21,Naive,0.02999338624338624
hotel_21,SeasonalNaive,0.0462632275132275
hotel_21,AutoETS,0.029228910199067367
hotel_21,AutoARIMA,0.0376106771848339
hotel_21,xgboost,0.038644341958893665
hotel_21,NBEATS,0.057461585222728664
hotel_21,NHITS,0.04145447454124532
hotel_28,Naive,0.00880952380952381
