unique_id,model,MAE
hotel_0,xgboost,0.11748910954179374
hotel_105,xgboost,0.09773148620385688
hotel_112,AutoARIMA,0.09104203836174807
hotel_126,Naive,0.03551508252703471
hotel_133,AutoETS,0.09973865761382197
hotel_14,xgboost,0.09370092357988306
hotel_21,AutoETS,0.029228910199067367
hotel_28,Naive,0.00880952380952381
hotel_35,xgboost,0.09298487305641175
hotel_42,xgboost,0.18693390842667199
hotel_49,AutoARIMA,0.08140191134015934
hotel_56,xgboost,0.05005770856425876
hotel_63,xgboost,0.13102667737953247
hotel_7,SeasonalNaive,0.1419962773382969
hotel_70,Naive,0.06466165413533835
hotel_77,SeasonalNaive,0.0014812955059000754
hotel_84,xgboost,0.11328987307069448
hotel_91,NHITS,0.13856197015096824
hotel_98,AutoARIMA,0.14582347819757654
